# defect
-1.228708139395747190E-01

# i  j   d(defect)/d(lsq(i,j))
  1  2  9.641602486002245830E+01
  1  3  9.614613406421236670E+01
  2  3  9.614613406421238060E+01
  4  1 -1.296909212793595620E+02
  4  2 -1.296909212793595820E+02
  4  3 -1.293325447210413390E+02
  5  1 -3.581082002604849620E+00
  5  2 -3.581082002604849660E+00
  5  3 -3.572519469818212500E+00
  4  5  2.273127596926181140E+01
  6  1 -3.705685385888513450E+00
  6  2 -3.705685385888513400E+00
  6  3 -3.685050916045961190E+00
  5  6  2.285244332101408860E+01
  7  1 -3.578135836611291430E+00
  7  2 -3.578135836611291410E+00
  7  3 -3.569198517400795390E+00
  6  7  2.284525382277863240E+01
  8  1 -3.543093132643915700E+00
  8  2 -3.543093132643915700E+00
  8  3 -3.550696775484530430E+00
  7  8  2.272789855638649750E+01
  9  1 -1.448792661471491370E+02
  9  2 -1.448792661471491590E+02
  9  3 -1.444592438666556630E+02
  8  9  2.278562926876741890E+01
  9  4  2.036794252668552750E+02
