# defect
-1.784057760555640230E-02

# i  j   d(defect)/d(lsq(i,j))
  1  2  2.005549315358086360E+01
  1  3  2.001532375247033540E+01
  2  3  2.001532375247033540E+01
  4  1 -2.433383026136614570E+01
  4  2 -2.433383026136614570E+01
  4  3 -2.429334892620836760E+01
  5  1 -2.733364667635627740E+00
  5  2 -2.733364667635627720E+00
  5  3 -2.727358045090083100E+00
  4  5  1.764038903087521660E+01
  6  1 -2.738277749875465290E+00
  6  2 -2.738277749875465290E+00
  6  3 -2.719309269680622040E+00
  5  6  1.757489342774337170E+01
  7  1 -2.733775759969733680E+00
  7  2 -2.733775759969733670E+00
  7  3 -2.728459438503206690E+00
  6  7  1.757482414731425550E+01
  8  1 -2.775933797141428340E+00
  8  2 -2.775933797141428340E+00
  8  3 -2.793065783748706310E+00
  7  8  1.764459459761231610E+01
  9  1 -2.481112782364366200E+01
  9  2 -2.481112782364366190E+01
  9  3 -2.474430964518567320E+01
  8  9  1.772047369077750060E+01
  9  4  3.581305024538331520E+01
